数据下载时间：2021-06-30 17:21:10 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/646256109432/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
111,艺**5,口味: 原味3盒+藤椒3盒,好评,佳琦直播间买的，第二天上午就送到了，超级快。味道很不错。红油和藤椒的区别就是红油辣椒包和藤椒包，如果喜欢纯正鸭血粉丝味就买红油，辣油很香哦。啥时候再去佳琦直播间啊，我还要买。 ,-,-,2021-06-20
112,1**日,口味: 原味3盒+藤椒3盒,好评,佳琦直播间买的，六盒价格比外面吃便宜～包装很好，发货很快，看直播料超级多！等吃了再来反馈～ ,-,-,2021-06-25
113,姜**4,口味: 原味3盒+藤椒3盒,好评,李佳琦直播间买的，第二次回购，这次买的藤椒味的，意外的好吃，继续回购 ,-,-,2021-06-26
114,a**o,口味: 原味3盒+藤椒3盒,好评,分量十足，汤头微苦 ,-,-,2021-06-26
115,心**嘉,口味: 【爆款必买】原味6盒,好评,南京人表示还蛮好吃的，比回味自己店里的好吃。。就是量有点小内容物有点“缩水” ,-,-,2021-06-23
116,杨**子,口味: 原味3盒+藤椒3盒,好评,速度超级快，+7直播间购买，吃了盒原味的，味道很赞，不比店里的差，一大碗吃完，还会回购的！下次再尝尝藤椒味，期待～ 新鲜度：鸭胗肝，鸭血跟店里吃的差不多 ,-,-,2021-06-19
117,浪**6,口味: 原味6盒,好评,口感味道：真的很好吃，对商品非常满意，属于无限回购款，推荐！ 包装品质：比平时要便宜，囤了不少，特别特别满意👍，良心商家，支持！ ,-,-,2021-06-22
118,h**o,口味: 原味3盒+藤椒3盒,好评,很好吃，跟在南京吃的味道差不多！料也挺足的，就是鸭杂有点太软，鸭肝有点苦。会回购的，很满意。喜欢藤椒味，不放藤椒酱就是原味，藤椒酱十分适合爱藤椒的人。原味配搭的是油辣椒。,-,-,2021-06-21
119,找**替,口味: 【爆款必买】原味6盒,好评,买过很多次回味赞的鸭血粉丝汤，食用方便，味道鲜美 ,-,-,2021-06-21
120,我**烦,口味: 原味3盒+藤椒3盒,好评,比较清淡，但煮起来很快，还不错 ,-,-,2021-06-21
121,t**6,口味: 原味3盒+藤椒3盒,好评,收到货后立即煮着吃了一包，味道不错，我的口味比较淡，加了***，没想到味道还挺好的。粉很软(我煮的时间比较久)，可以当午餐，吃的很饱。不错不错。 ,-,-,2021-06-23
122,t**6,口味: 原味6盒,好评,回购几次鸭血粉丝了，原味最好吃,-,-,2021-06-23
