数据下载时间：2021-07-01 09:45:04 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/635282951035/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
48,t**6,口味: 40g冰粉5袋+5支30g红糖+5支20g伴侣,好评,夏天就适合这种冰冰凉凉的小零食，清凉爽口，制作方法也简单，一次就成功了，分给姐妹们一起吃，加上水果，伴侣还有红糖，果真是夏日必备，姐妹们一起冲！ ,第二次吃了，量很足很喜欢，室友也买了，要回购,-,2021-06-05
49,追**福,口味: 40g冰粉8袋,好评,说真的，这个牌子的不好吃！我以前在超市买的好吃，就是不知道啥牌子了 ,-,-,2021-06-17
50,瑶**8,口味: 冰粉粉40g*5+液体红糖30g*5+山楂碎100g*1,好评,口感特别好，包装合理！,-,-,2021-06-13
51,星**飞,口味: 冰粉粉40g*5+山楂碎100g*1,好评,制作很方便，准备4瓶500毫升的水，烧开，倒入搅拌放凉就可以了。，也很好吃，夏季必备 ,-,-,2021-06-08
52,t**5,口味: 40g冰粉8袋,好评,公司活动，做了冰粉，满满一大盒，全部售罄，就用了4袋，好吃好吃，赞赞赞 ,-,-,2021-06-03
53,油**1,口味: 40g冰粉5袋+5支30g红糖,好评,此用户没有填写评价。,昨天做了冰粉，很不错，一袋做了套锅半锅冰粉。,-,2021-05-21
54,心**9,口味: 40g冰粉5袋+5支30g红糖,好评,挺不错的，方便快捷,-,-,2021-06-09
55,h**7,口味: 烧仙草200g2盒,好评,刚拆开快递就闻到浓浓的仙草味了 ,-,-,2021-06-19
56,为**耶,口味: 冰粉粉40g*5+液体红糖30g*5+花生碎100g*1,好评,好便宜呀 很好 ,-,-,2021-06-13
57,阿**9,口味: 40g冰粉5袋+5支30g红糖,好评,难吃无比,-,-,2021-06-18
58,夏**4,口味: 40g冰粉5袋+5支30g红糖,好评,还可以吧,-,-,2021-06-11
59,糖**1,口味: 冰粉粉40g*5+花生碎100g*1,好评,第一次做搞错比例了，重新熬了一下比例对了就能凝固，送的红糖漏了一包不过是送的就不强求了 ,-,-,2021-06-11
