数据下载时间：2021-06-30 09:56:09 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/606940292908/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
32,晴**3,,好评,干净，新鲜，已多次回购 ,-,-,2021-06-21
33,t**5,,好评,很快就煮开花了。真的是为了减肥去湿气，又重新喝起来了，减肥期间一定要多喝水多喝水！喝了一周了，对去水肿是有效果的，无论每天再忙都要喝两杯。把这个茶当水了，饭后泡一包感觉胃里也不再油腻了，  ,用水壶煮的， 所以味道出来的也更加棒， 红豆薏米茶它有去湿消肿的作用，，坚持喝对身体又很好的，,"感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快-【刘冰花旗舰店】",2021-05-20
34,酷**洁,,好评,已经是你们家的忠实粉丝了 每次都买好多。太棒了口感不错包装严密简洁，内容可以一目了然，两罐能喝好久好久哦！挺好的，减肥期间一定要多喝水多喝水！个价格买到还是比较满意的。包装很严实， ,-,-,2021-05-24
35,美**3,,好评,买了多次了 方便  ,-,-,2021-06-21
36,心**1,,好评,去年买过，回购,-,-,2021-06-22
37,李**5,,好评,我买的袋装的泡水喝很方便。 ,-,-,2021-06-20
38,s**4,,好评,买了好多次了，很好，不错，感觉有祛湿气的效果 ,-,-,2021-06-16
39,t**5,,好评,去年买的挺好的，寻思今年再买点吧，薏米开盖后一股卡拉味，熬出来的水是黑色的，试问谁敢喝？去年的熬出来的水是正常颜色,-,-,2021-05-20
40,x**a,,好评,产品好不好的我也不清楚。因为包装太差了，盖子都没盖好，刚准备从快递盒子里拿出来，盖子直接掉了，然后红豆撒了一地，关键这是炒熟直接泡茶的。感觉就跟新买的茶叶撒了一地，是直接喝，还是洗了再喝。感觉很糟糕。,-,-,2021-05-27
41,t**6,,好评,物流特别给力，客服服务态度比较好挺有耐心。 气味儿清香。口感喝起来又很好，会一直持续喝下去。大赞！喜欢！最近感觉身体也轻松了很多，睡觉也踏实了，一整天都特别精神。喝完感觉胃里暖暖的。 ,白天泡水喝晚上就可以把豆子吃了豆子颗粒饱满，包装足斤足量，薏米是炒过的个人觉得不用清洗，,"感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快",2021-04-28
42,t**8,,好评,生的，一股坏的味，以前买过几回，这次真的差,-,-,2021-05-12
43,夕**么,,好评,已经第三次购买了，前面两次都还挺不错的，这次发的薏米有一股臭油味，感觉是放了好久的货，也懒得退了，建议商家发货前先检查下货物是否有坏了的情况哦,-,-,2021-05-16
44,t**3,,好评,第二次购买，没有第一次质量好,-,-,2021-06-07
45,z**9,,好评,早上上班煮上，然后一直当水喝，真的对祛湿有点效果一个非常用心的好评。比较满意的。配好了不用去超市买，非常实用，性价比高， 平时会用来煮水喝，可以去湿气，产品挺新鲜没异味  ,"之前总买他们家的东西，这回的也依旧没让人失望！平时总是忘记喝水星人，现在每天可以喝5,6杯水了","感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快",2021-04-22
46,t**4,,好评,没有第一次的质量好,-,-,2021-05-29
47,往**0,,好评,没有第一次买的好,-,-,2021-06-02
48,大**屋,,好评,此用户没有填写评价。,买来立即开封煮了两次，还真的挺好喝的，至于去湿的效果嘛，要喝一段时间后才能知道明显不明显。,-,2021-05-03
49,t**8,,好评,此用户没有填写评价。,薏仁打开就是一股油放久了捂臭的臭味，单纯只是装瓶子里捂到根本不可能是这样的味道，根本不敢吃，那股臭味是捂了很久很久的味道,-,2021-05-12
50,m**2,,好评,不太满意，薏米仁没封口，撒箱子里了，倒出来后还少了一些。 ,-,-,2021-04-12
51,舞**5,,好评,此用户没有填写评价。,薏米一打开就有股哈喇味，赤豆用水洗的时候有股很浓的哈喇味，熏的头疼，没办法忘记买运费险,-,2021-05-09
52,清**h,,好评,己买了N多次,-,-,2021-06-03
53,l**0,,好评,口感味道：薏米时间久了一打开一股发霉的味道，卖家不承认…我说我家做粮油20年这个东西还是会看的，没想到东西放在楼道里 准备让快递去取 结果被偷 不知道被谁给拿走了。哎 认栽 ,-,-,2021-04-15
54,y**8,,好评,**节优惠买的，两瓶都是炒熟的，发货挺快。今天早上每样两小勺，煮了15分钟之后保温45度喝一天，煮的水偏红色，没特殊味，喝起来很容易。希望能排湿气。,-,-,2021-03-09
55,多**i,,好评,比超市便宜很多，品质也不错，薏仁和小红豆一打开就能闻到非常香。煮了每天都在喝，味道不错，会坚持喝下去的，薏米和红豆是真的颗颗饱满反正比和白水好喝，真的是为了减肥去湿气，多喝水！ ,好吃很新鲜，泡水有豆香味。是那种非常新鲜的香味儿，口感很好，日期也很新鲜， 价钱也很实惠。,-,2021-04-16
56,t**5,,好评,薏米走油了,-,-,2021-05-20
57,米**猫,,好评,收到时，两瓶封口都已开，薏米有一股刺鼻的油耗味，客服居然说放三天就没这种味道了，三天过去，味道依旧，扔了。,-,-,2021-05-25
58,燕**7,,好评,薏仁米全是坏的，都馊了，味道很刺鼻，要不是自动收货了肯定退了的，之前买的生薏仁，自己炒熟的，熬水出来，整个房间都是米香味，这个真的是一言难尽,-,-,2021-04-26
59,小**1,,好评,很大罐 ,-,-,2021-06-13
60,雨**p,,好评,日期很新鲜，挺好每天煮一锅，的值得购买薏米真的炒的特别香，喝完感觉胃里暖暖的产品冲泡出来，颜色非常的纯正现在习惯喝这种茶了价钱也很实惠。会坚持喝下去很喜欢这个味， ,包装完好饮用茶就是你了去湿排水很管用，味道不错，饱腹感很强！有利于减肥。,"感谢亲的评价，授人玫瑰手有余香，您简短的几句胜过无数的赞美，因为您的喜欢，温暖了我们整个手心，在忙碌的生活中，您选择了我们，我们的相遇，是基于无数个偶然，感谢您的邂逅，有什么意见和建议可联系我们, 我们会心存感激的倾听并努力改进,我们的进步离不开亲的理解与支持,。也希望亲在我们这里得到最愉快最放心的购物体验。我们相信您买的不只是一件商品，更多的是一份惊喜。对我们而言使这个世界灿烂的不是阳光，而是您满意的微笑。天空的美，在于云卷云舒;海洋的美，在于潮起潮落;生活的美，在于有苦有甜; 有您支持的美，便是对我们的肯定，亲的支持是我们成长发展的基石、提供优质服务的动力，我们承诺会以更快更好的服务回馈我们的顾客，也将是我们不断前进的动力！再次感谢亲的认可和肯定!您的好评是对我们最大的支持与鼓励，一份坚持 ，一份努力，一份用心，一份耕耘，一份承诺，一份期盼，一份收获，一份喜悦，一份感动，一份温暖，换来您的十分信任，期待下一次的交集，谢谢您的光顾，祝您生活愉快",2021-04-22
