数据下载时间：2021-06-29 09:26:59 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/557269641899/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
84,陈**7,颜色分类: 单数据线（1米）【官方授权】,好评,在这家买了好几次数据线了 ，质量非常好 ，不比正品的差 ，上次买的长的 ，这次买个短的在车上用,已经迫不及待的用上了 ，非常好 ！,-,2021-04-04
85,生**彩,颜色分类: 单数据线（1.5米）【官方授权】,好评,外观材质：非常的完美 充电速度：充电速度给力，由其售后服务特别给力，几年来一直购买他家产品。 ,-,-,2021-05-17
86,彭**太,颜色分类: PD18W充电头+PD快充线1米【原封正品】,好评,此用户没有填写评价。,大家要注意，不是原装的，不好用，经常冲着冲着电还没冲好，冲了1⃣️个小时也没电电，建议大家不要买，。,-,2021-04-15
87,1**z,颜色分类: 单数据线（1.5米）【官方授权】,好评,此用户没有填写评价。,在你们家买了三条数据线了，每次用两个月就充不进电了，无语中,-,2021-03-26
88,全**0,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,此用户没有填写评价。,用了三个月就充不上电了，以为买贵一点质量会好点，其实不然！,-,2021-03-22
89,l**3,颜色分类: 单数据线（1米）【官方授权】,好评,充电速度：贼快 接触灵敏度：？？ 外观材质：不懂 ,-,-,2021-06-09
90,我**3,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,如果是传说中的一次性充电器，买之前跟店主说了问清楚了，他不承认他们的充电器是一次性的，说正品还有质量保证，现在社会很流行一种一次性充电器就是基本上用两三次，三四车自动会坏，然后套你再次去一直循环购买，这家店就是这样的黑，我敢说在这买个的人站出来承认是不是充今天或者几次必坏……这样的店为什么得不到严查严惩，期待有关部门可以管制一下 ,-,-,2021-05-31
91,z**8,颜色分类: 单数据线（1.5米）【官方授权】,好评,宝贝线够长，质量不错，希望可以用久一点 ,-,-,2021-04-08
92,黄**0,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,此用户没有填写评价。,这才用了两天充电头坏了，我也是服了,-,2021-06-10
93,娴**0,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,此用户没有填写评价。,用了不到一个月，现在用不了了，五十几的东西用不到一个月,-,2021-06-03
94,t**2,颜色分类: 单数据线（1米）【官方授权】,好评,接触灵敏度：很好，是正品 ,-,-,2021-03-21
95,幽**哟,颜色分类: 单数据线（1米）【官方授权】,好评,🎈商品收到了，包装得很好，物流非常快，客服态度很积极，有问题及时解答！总体来说非常满意！,-,-,2021-03-24
96,快**8,颜色分类: 单数据线（2米）【官方授权】,好评,很多次购买了，东西还不错的,-,-,2021-05-25
97,南**1,颜色分类: 单数据线（2米）【官方授权】,好评,已经第三次购买，好用的没话说！ ,-,-,2021-04-13
98,世**们,颜色分类: 单数据线（1米）【官方授权】,好评,东西蛮好的，快递发货很快，充电很快。,-,-,2021-04-05
99,紫**儿,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,此用户没有填写评价。,真差，充几天就全都充不进去电，垃圾,-,2021-01-28
100,豆**朱,颜色分类: 单数据线（1米）【官方授权】,好评,买过好几次了，还没用，相信品质 ,-,-,2021-05-20
101,n**8,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,效果很好,-,-,2021-05-12
102,泡**泡,颜色分类: 单数据线（1米）【官方授权】,好评,质量是很好,-,-,2021-05-15
103,t**8,颜色分类: 单数据线（1米）【官方授权】,好评,此用户没有填写评价。,垃圾东西,-,2021-06-10
104,t**1,颜色分类: 单数据线（2米）【官方授权】,好评,已经买了好几根了！非常好👍,-,-,2021-06-03
105,t**5,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,第二次买 你讲好不好,-,-,2021-05-08
106,一**2,颜色分类: 单数据线（2米）【官方授权】,好评,收到啦，接触很好，充电速度也很快，外观材质都挺好。 ,好用好用,-,2021-03-17
107,z**6,颜色分类: 单数据线（1米）【官方授权】,好评,目前用来感觉很不错～ ,-,-,2021-05-14
108,x**5,颜色分类: 单数据线（1米）【官方授权】,好评,充电速度：真的非常好 跟原装的简直一样了！ 接触灵敏度：很灵敏 接触很好 客服也非常好 很耐心解答问题 已经是第三次购买啦！ ,-,-,2021-03-31
109,小**c,颜色分类: 单数据线（1.5米）【官方授权】,好评,数据线很不错，充电迅速，数据线接口端有保护圈，线再也不会折断了。很好👌,-,-,2021-04-20
110,谱**伤,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,买了没多久就用不了了,-,-,2021-06-05
111,b**0,颜色分类: 单数据线（1米）【官方授权】,好评,多次买了，好用。 ,-,-,2021-05-22
112,t**9,颜色分类: 单数据线（1米）【官方授权】,好评,非常不戳哦！ ,-,-,2021-06-14
113,苏**洋,颜色分类: 单数据线（1米）【官方授权】,好评,特别好用，值得购买 ,-,-,2021-03-28
114,王**儿,颜色分类: 单数据线（2米）【官方授权】,好评,此用户没有填写评价。,充电及慢差评,-,2021-06-02
115,幸**8,颜色分类: 单数据线（1米）【官方授权】,好评,宝贝收到了，物流快，质量不错，很好用。,-,-,2021-05-22
116,路**o,颜色分类: PD18W充电头+PD快充线1.5米【原封正品】,好评,店家很耐心、不错可以购买谢谢,-,-,2021-05-23
117,t**4,颜色分类: 单数据线（1.5米）【官方授权】,好评,已经第三次购买了，挺好的。 ,-,-,2021-06-26
118,t**9,颜色分类: 实惠套装★ 数据线（1.5米）+充电头【官方授权】,好评,****充都充不了 ,-,-,2021-06-14
119,h**3,颜色分类: 单数据线（1米）【官方授权】,好评,囤货，好用,-,-,2021-05-26
120,1**n,颜色分类: 单数据线（1米）【官方授权】,好评,第二次购买,-,-,2021-05-20
121,董**川,颜色分类: 单数据线（1米）【官方授权】,好评,买过几次了,-,-,2021-05-19
122,黎**宇,颜色分类: 单数据线（2米）【官方授权】,好评,一直在这买 ,-,-,2021-05-24
123,t**2,颜色分类: 单数据线（1米）【官方授权】,好评,做工非常的精致，带灯设计款式的，这个得创意非常的好，怪不得有这么高大上，质量非常的强硬，充电快很稳定，不会出现不支持的现象，经济实惠很划算啊，线还够长，送的线扣使用起来真的很方便 ,-,-,2021-02-26
124,t**2,颜色分类: 实惠套装★ 数据线（1米）+充电头【官方授权】,好评,使着看吧。 ,-,-,2021-06-08
125,a**见,颜色分类: 单数据线（1米）【官方授权】,好评,✨使用效果很不错，✨充电的时候不会发热发烫，✨电流也是稳定，✨长度够长。接头很平滑。充电快，✨不发烫，✨不弹窗，✨不提示不匹配现象，✨反应很敏捷。✨价格不贵还包邮哈哈 ,-,-,2021-02-28
126,嘉**6,颜色分类: 单数据线（1米）【官方授权】,好评,接触灵敏度：数据线收到就用上了，比想象中的好很多，材质很不错，插头和手机接触处很紧密，不会松动，充电反应很迅速，颜值很高，材质也很耐用没有出现不支持、不匹配的现象，确实很不错，值得推荐  ,-,-,2021-02-28
127,t**8,颜色分类: 单数据线（1米）【官方授权】,好评,接口类型齐全、数据线收缩流畅；整体做工精致、重量体积小巧、结构设计合理；的确是品牌货的质量，外观造型飘亮、质感舒适、结实耐用；比较了很多同类产品，感觉这款性价比超高 ,-,-,2021-06-10
128,盈**械,颜色分类: 单数据线（1米）【官方授权】,好评,第三次买了，还可以吧！买买买买买买吧！ ,-,-,2021-03-29
129,t**6,颜色分类: 单数据线（1米）【官方授权】,好评,质量很不错,-,-,2021-05-24
130,麦**购,颜色分类: 单数据线（1米）【官方授权】,好评,此用户没有填写评价。,这线价格虚高，头已经脱胶了。,-,2021-04-11
131,夏**2,颜色分类: 单数据线（1米）【官方授权】,好评,没有弹提示框、不发热。接口处也非常牢固，不会松动，特别的方便，是我理想中的样子！现在外出旅游啥的就带一根数据线是最省的，而且充电稳定也，‬不发烫没，‬有出现弹窗现的‬象，出门在外根一‬数据线就可以，了‬ 有需要会继回续‬购的 ,-,-,2021-02-27
132,孤**o,颜色分类: 单数据线（1米）【官方授权】,好评,这个线接口那里做工很有加固，和图片描述的一样，充电特别的快，反应很迅速而且整个充电过程机子也没有发烫，性能很稳定很安全。不弹窗超方便的。使用起来和原装的一样，没有区别，很实用  ,-,-,2021-02-24
133,t**6,颜色分类: 单数据线（1米）【官方授权】,好评,服务态度很好！值得推荐！ ,-,-,2021-05-12
134,t**1,颜色分类: 单数据线（1米）【官方授权】,好评,摸着手感很棒，尼龙花纹的外观很高档，也不会出现接触不好，充电速度很快， 和图片描述相符，也没有发烫发热，手机与接口连接处很紧实 外观材质：性价比很高，很不错。线材真好，颜值又高，材料又好 ,-,-,2021-06-03
135,h**s,颜色分类: 单数据线（1米）【官方授权】,好评,数据线结实耐用，充电速度快，不会出现发烫的情况，不弹窗 ，耐用耐拉伸，不易折断，材质做工良好，价格也很实惠。充了没有什么问题，跟图片上的一模一样。兼容很好 ,-,-,2021-03-08
136,t**9,颜色分类: 单数据线（1米）【官方授权】,好评,看起来很结实，会很耐用。没有出现不识别的情况，正反面都能正常充電，長度OK！充电速度比原装的要快，可以说是非常很不错了，集美们可以下單，价格实惠性价比高，有活动我还要躉貨的  ,-,-,2021-06-14
137,b**1,颜色分类: 单数据线（1米）【官方授权】,好评,用起来充电效果还是不错的，非常的划算！也没有发烫发热，当插入插孔不会有松动连接紧密，在使用过程中不会出现过热，烫手等现象，数据线的长度也合适，充电很快，不会出现弹窗 ,-,-,2021-03-07
138,文**堵,颜色分类: 单数据线（1米）【官方授权】,好评,接触灵敏度:好  充电速度:正常  外观材质好看，以前用的品胜的充电慢到爆，啥认证不认证的一样，有时候会不匹配，这次买的数据线颜值高，充电稳，但是涨价了，准备回购的，等降价再买。 ,-,-,2021-03-04
139,九**大,颜色分类: 单数据线（1米）【官方授权】,好评,线很长，又粗又结实，使用很自如。接头做工很精致，插拔了几次很好用，也很方便，更可爱的一点就是手机一端的插头还有显示灯，黑暗中特显眼，很人性化的，充电速度快，边冲边使用也没有问题的,-,-,2021-02-26
140,寒**池,颜色分类: 单数据线（1米）【官方授权】,好评,做工什么都好，过手质感很好这条线，不弹窗，不提示不匹配现象，[拥抱]反应很敏捷，接口接触很好，插拔顺畅，接触很稳不会松动，连接很紧密 ,-,-,2021-02-23
141,胡**4,颜色分类: 单数据线（1米）【官方授权】,好评,数据线真的很喜欢，完全超出期望值，充电快又很稳定，也不会容易发热发烫，确实还是蛮不错的，质量非常强硬，与卖家描述完全一致，边充边玩充电速度也很快 ,-,-,2021-03-10
142,旺**3,颜色分类: 单数据线（1米）【官方授权】,好评,还真不错，外观挺好看的，接口的地方还特意有加固好的，怎么弯曲拉扯都不会损坏到，充电速度也很给力，没有出现弹窗的情况，还是很好用的。,-,-,2021-03-09
