数据下载时间：2021-06-28 13:47:51 功能：看店宝【https://kandianbao.com/】 宝贝评价信息分析 相关查询网址：https://kandianbao.com/item/pingjia/621776237205/,,,,,,,
序号,评价用户,sku,评价类型,评价内容,追评,掌柜回评,评价时间
123,g**3,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,希望你们能换个快递吧，圆通太差劲。晚上九点送快递给扔家门口，也不敲门，说怕打扰。结果丢件了，快递员让自己找，都丢件了上哪找去。  线都没收到，也没法评价质量，就这样吧,-,-,2021-06-15
124,t**8,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,便宜实惠,-,-,2021-06-22
125,潘**羼,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,宝贝收到，冲电很快。插口很好不松动。关键是物美价廉,-,-,2021-06-04
126,t**4,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,物美价廉，非常不错！,-,-,2021-06-26
127,王**芹,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,着根本就不是5A的快充线，用到我的快充手机上就是常规充电。商家欺骗！,-,-,2021-06-12
128,三**o,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,物美价廉。,-,-,2021-06-12
129,皇**7,长度: 1米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,宝贝做工真的非常精细，细节真的棒，充不了电爱了爱了,-,-,2021-06-06
130,f**2,长度: 3米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,就是跟普通线，根本不快充 不良商家,-,-,2021-06-12
131,杨**f,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,不是快充线，,-,-,2021-06-10
132,t**9,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,Work perfectly fine Cheap but very useful,-,-,2021-04-25
133,t**7,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,东西一般做工不精细，还能用。,-,-,2021-06-16
134,王**坛,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,虚假宣传根本不是快充线，大家不要上当了,-,-,2021-06-09
135,解**否,长度: 1米 颜色分类: 【活动促销款】Type-c/白色【1条装】,好评,发货快，物流快，还这么便宜，无限回购。,-,-,2021-06-08
136,美**8,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,坏的,-,-,2021-06-16
137,阳**扬,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,快递很给力，商家服务也到位，充电也很快，而且买一送二，好！,已经充电好几次了，充电真的很快，值得推荐，下次还要买,-,2021-06-08
138,q**5,长度: 0.25米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,做工不行，插头有变形，充电没问题,-,-,2021-06-10
139,t**6,长度: 1米 颜色分类: Type-C/5A快充/象牙白/1条装,好评,非常好用 可以闪充 非常接近原装数据线了,-,-,2021-06-21
140,如**4,长度: 1.5米 颜色分类: Type-C/5A快充/象牙白/买一送一2条装,好评,非常差，插不紧充不上电，两条都一样，联系客服说等售后处理，两天了也没有下文，当垃圾扔了,-,-,2021-06-15
